timestamp_utc,open,high,low,close,volume
2025-01-12 00:00:00,1.02400,1.02400,1.02400,1.02400,0
2025-01-12 01:00:00,1.02400,1.02400,1.02400,1.02400,0
2025-01-12 02:00:00,1.02400,1.02400,1.02400,1.02400,0
2025-01-12 03:00:00,1.02400,1.02400,1.02400,1.02400,0
2025-01-12 04:00:00,1.02400,1.02400,1.02400,1.02400,0
2025-01-12 05:00:00,1.02400,1.02400,1.02400,1.02400,0
2025-01-12 06:00:00,1.02400,1.02400,1.02400,1.02400,0
2025-01-12 07:00:00,1.02400,1.02400,1.02400,1.02400,0
2025-01-12 08:00:00,1.02400,1.02400,1.02400,1.02400,0
2025-01-12 09:00:00,1.02400,1.02400,1.02400,1.02400,0
2025-01-12 10:00:00,1.02400,1.02400,1.02400,1.02400,0
2025-01-12 11:00:00,1.02400,1.02400,1.02400,1.02400,0
2025-01-12 12:00:00,1.02400,1.02400,1.02400,1.02400,0
2025-01-12 13:00:00,1.02400,1.02400,1.02400,1.02400,0
2025-01-12 14:00:00,1.02400,1.02400,1.02400,1.02400,0
2025-01-12 15:00:00,1.02400,1.02400,1.02400,1.02400,0
2025-01-12 16:00:00,1.02400,1.02400,1.02400,1.02400,0
2025-01-12 17:00:00,1.02400,1.02400,1.02400,1.02400,0
2025-01-12 18:00:00,1.02400,1.02400,1.02400,1.02400,0
2025-01-12 19:00:00,1.02400,1.02400,1.02400,1.02400,0
2025-01-12 20:00:00,1.02400,1.02400,1.02400,1.02400,0
2025-01-12 21:00:00,1.02400,1.02400,1.02400,1.02400,0
2025-01-12 22:00:00,1.02400,1.02464,1.02357,1.02462,62626138683
2025-01-12 23:00:00,1.02461,1.02468,1.02387,1.02429,66908343505
